ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
2,4,8.5,196
2.4,4,9.6,221
1.5,4,5.9,136
3.5,6,11.1,255
3.5,6,10.6,244
3.5,6,10,230
3.5,6,10.1,232
3.7,6,11.1,255
3.7,6,11.6,267
2.4,4,9.2,212
2.4,4,9.8,225
3.5,6,10.4,239
1.8,4,8.4,193
5.9,12,15.6,359
5.9,12,15.6,359
4.7,8,14.7,338
4.7,8,15.4,354
4.7,8,14.7,338
4.7,8,15.4,354
5.9,12,15.6,359
2,4,8.8,202
2,4,10,230
2,4,9.3,214
2,4,10,230
2,4,10,230
2,4,9.3,214
2,4,10.2,235
3,6,10.9,251
3,6,8.1,217
3,6,11.2,262
3,6,8.1,217
3,6,11.2,258
4,8,11.3,265
3,6,8.4,224
3,6,11.2,258
4,8,12.5,288
6.3,12,15.5,363
3,6,8.4,224
2,4,10.5,242
2,4,10.4,239
3,6,11.2,258
3,6,9,244
2,4,9.2,212
3,6,13.2,304
3,6,10.7,290
4.2,8,14.6,336
4.2,8,17.7,407
5.2,10,14.8,347
5.2,10,17.8,409
4.2,8,14.6,336
4.2,8,17.7,407
5.2,10,14.8,347
5.2,10,17.8,409
4.2,8,13.3,306
4.2,8,13.4,308
4,8,12.5,293
3,6,11.4,262
3,6,12.4,285
3,6,11.4,262
3,6,12.4,285
3,6,11.6,267
4,8,12.2,281
4,8,12.2,281
4,8,12.8,300
3,6,12.7,292
2,4,9.1,209
2,4,9.1,209
2,4,10.3,237
2,4,10.3,237
4,8,13.4,314
6,12,15.5,356
4,8,14.2,332
6,12,16.5,380
6,12,16.5,380
6,12,16.5,388
6.8,8,19,437
2,4,8.4,193
2,4,8.7,200
2,4,8.8,202
2,4,6.7,181
2,4,6.7,181
2,4,8.4,193
2,4,8.7,200
2,4,9.1,209
2,4,9.1,209
2,4,9.1,209
3,6,9.6,221
3,6,10,230
3,6,9.9,228
3,6,10.3,237
3,6,10.1,232
2,4,8.4,193
2,4,8.7,200
2,4,9.1,209
3,6,9.6,221
3,6,10,230
3,6,9.9,228
3,6,10.3,237
2,4,8.8,202
2,4,9.1,209
3,6,7.9,213
3,6,10.1,232
3,6,10.7,246
4.4,8,12.2,281
4.4,8,12.7,292
3,6,10.1,232
4.4,8,12.7,292
4.4,8,12.2,281
4.4,8,12.7,292
3,6,10.7,246
4.4,8,12.7,292
4.4,8,12.7,292
6,12,15.5,356
3,6,8.3,191
3,6,9.3,214
3,6,9.2,212
4.4,8,12.7,292
4.4,8,12.7,292
4.4,8,14.7,338
4.4,8,13.8,317
4.4,8,14.7,338
4.4,8,13.8,317
4.4,8,14.7,338
4.4,8,13.8,317
4.4,8,14.7,338
4.4,8,13.8,317
2,4,9.1,209
3,6,11.3,260
2,4,10,230
3,6,11,253
3,6,11.1,255
4.4,8,13.9,320
4.4,8,16.1,370
3,6,11.9,274
4.4,8,14.1,324
2,4,9.1,209
2,4,8.7,200
3,6,12.1,278
3,6,11,253
3,6,12.1,278
3.6,6,12.3,283
3.6,6,12.6,290
1.4,4,8.5,196
1.4,4,9.2,212
3.6,6,11.5,264
3.6,6,15.6,250
3.6,6,11.5,264
3.6,6,16.5,264
2.4,4,8.2,189
2,4,9.9,228
2,4,9.8,225
2,4,10.7,246
2.4,4,8.2,189
2,4,9.9,228
2,4,9.8,225
2.4,4,9.5,218
2,4,9.6,221
2,4,10.2,235
2.5,4,9,207
3.6,6,10.9,251
2,4,10.1,232
3.6,6,11.3,260
3.6,6,11.2,258
3.6,6,11.4,262
2,4,10.1,232
3.6,6,10.8,248
2,4,10.8,248
3.6,6,11.3,260
3.6,6,12.8,294
3,6,11,253
3.6,6,11.3,260
3,6,11.1,255
3.6,6,11.4,262
6.2,8,16.6,382
6.2,8,14.8,340
6.2,8,16.6,382
6.2,8,14.8,340
6.2,8,16.6,382
6.2,8,14.8,340
6.2,8,14.7,338
6.2,8,20.1,322
6.2,8,16.4,377
6.2,8,22.1,354
3.6,6,12.3,283
3.6,6,12.8,294
3.6,6,11.4,262
3.6,6,11.8,271
3.6,6,12.6,290
3.6,6,11.2,258
3.6,6,11.7,269
3.6,6,10.5,242
6.2,8,12.8,294
6.2,8,12.7,292
6.2,8,16.6,382
6.2,8,14.8,340
6.2,8,12,276
6.2,8,11.2,258
1.4,4,7.8,179
1.4,4,7.8,179
1.8,4,8.8,202
1.8,4,8.2,189
2,4,7.1,192
1.4,4,7.7,177
1.4,4,7.1,163
2.4,4,9.1,209
3.6,6,12,276
3.6,6,16.2,259
2.4,4,10,230
3.6,6,12.6,290
3.6,6,17,272
4.3,6,15.1,347
5.3,8,15.9,366
5.3,8,20.9,334
5.3,8,16.5,380
5.3,8,21.5,344
5.3,8,16.5,380
5.3,8,21.5,344
5.3,8,16.5,380
5.3,8,22.6,362
5.3,8,16.5,380
5.3,8,21.5,344
5.3,8,16.5,380
5.3,8,22.6,362
4.8,8,18,414
6,8,18.8,432
6,8,25.7,411
4.8,8,18.2,419
6,8,18.9,435
6,8,25.8,413
2.5,4,9.6,221
3.6,6,10.6,244
3.6,6,14.3,229
2.4,4,8.7,200
2,4,9.9,228
2.5,4,8,184
2.4,4,10.6,244
2.4,4,10.2,235
4.3,6,11.8,271
4.3,6,16.8,269
5.3,8,12.7,292
5.3,8,16.9,270
6.2,8,14.1,324
4.3,6,12.6,290
4.3,6,17.8,285
5.3,8,13,299
5.3,8,17.3,277
6.2,8,14.3,329
1.4,4,8,184
1.4,4,7.5,173
